,variance,similarity,delta_mod,size,nodes_num,nb_communities,modularity
0,0.0008305937005769795,0.9486964540427432,0.08864265927977838,60,17,10,0.062326869806094164
1,0.0006350403789275882,0.894522076144264,0.052631578947368425,60,17,9,0.11495844875346259
2,0.00035139461193684965,0.8471691555990695,0.07617728531855955,60,17,9,0.19113573407202214
3,0.0002800691284512003,0.8167169727772016,0.07894736842105263,60,17,9,0.27008310249307477
4,0.00014178451669339577,0.8090013742455244,0.04432132963988922,60,17,8,0.314404432132964
5,5.5492783204548616e-05,0.8334349920796041,0.02077562326869803,60,17,7,0.335180055401662
6,6.166184523855176e-05,0.8353945952202458,0.04847645429362879,60,17,7,0.3836565096952908
7,0.0001090363197199394,0.8266277053043642,0.055401662049861466,60,17,4,0.43905817174515227
8,3.860339725242543e-05,0.9288399214768447,0.012465373961218884,60,17,4,0.45152354570637115
9,1.4822374495796217e-05,0.8943817856178365,0.018005540166204925,60,17,4,0.4695290858725761
10,4.8539866091334844e-05,0.9554026219671522,0.0,60,17,4,0.4695290858725761
11,1.232595164407831e-32,1.0,0.0,60,17,4,0.4695290858725761
12,1.232595164407831e-32,1.0,0.0,60,17,4,0.4695290858725761
13,1.232595164407831e-32,1.0,0.0,60,17,4,0.4695290858725761
14,1.232595164407831e-32,1.0,0.0,60,17,4,0.4695290858725761
15,1.232595164407831e-32,1.0,0.0,60,17,4,0.4695290858725761
16,1.232595164407831e-32,1.0,0.0,60,17,4,0.4695290858725761
17,1.232595164407831e-32,1.0,0.0,60,17,4,0.4695290858725761
18,4.759112130330206e-05,0.9435085838473612,0.016701069619065485,60,20,10,-0.05986113717395384
19,5.79571890463998e-05,0.8775757041540624,0.02833552261212234,60,20,10,-0.0315256145618315
20,6.704962426683003e-05,0.7992475875544245,0.051979733533495956,60,20,10,0.020454118971664454
21,0.0001995213047604681,0.7474942258949373,0.031150309626571584,60,20,9,0.05160442859823604
22,8.45652215454705e-05,0.8086054382938022,0.026271345468192903,60,20,8,0.07787577406642894
23,5.712439098682978e-05,0.7537393051542887,0.027021955338712683,60,20,8,0.10489772940514162
24,0.00013267144834389172,0.7349759271721074,0.054137736911240394,60,20,8,0.15903546631638202
25,0.0001647787773389047,0.6930972717753993,0.032276224432351286,60,20,7,0.1913116907487333
26,7.170235522294816e-05,0.7241347217157057,0.03893788703321449,60,20,6,0.2302495777819478
27,0.0001591610316052086,0.7637305577315604,0.05160442859823608,60,20,6,0.2818540063801839
28,0.0002648642040892603,0.8287250604907149,0.020078814036404546,60,20,4,0.3019328204165884
29,2.8715745692371124e-05,0.9529239802992825,0.0,60,20,3,0.3019328204165884
30,4.930380657631324e-32,1.0,0.0,60,20,3,0.3019328204165884
31,4.930380657631324e-32,1.0,0.0,60,20,3,0.3019328204165884
32,4.930380657631324e-32,1.0,0.0,60,20,3,0.3019328204165884
33,4.930380657631324e-32,1.0,0.0,60,20,3,0.3019328204165884
34,4.930380657631324e-32,1.0,0.0,60,20,3,0.3019328204165884
35,4.930380657631324e-32,1.0,0.0,60,20,3,0.3019328204165884
