,variance,similarity,delta_mod,size,nodes_num,nb_communities,modularity
0,0.0,1.0,0.0,5,17,4,0.4515235457063711
1,0.0,1.0,0.0,5,17,4,0.4515235457063711
2,0.0,1.0,0.0,5,17,4,0.4515235457063711
3,0.0,1.0,0.0,5,17,4,0.4515235457063711
4,0.0,1.0,0.0,5,17,4,0.4515235457063711
5,0.0,1.0,0.0,5,17,4,0.4515235457063711
6,0.0,1.0,0.0,5,17,4,0.4515235457063711
7,0.0,1.0,0.0,5,17,4,0.4515235457063711
8,0.0,1.0,0.0,5,20,2,0.30174516794895845
9,0.0,1.0,0.0,5,20,2,0.30174516794895845
10,0.0,1.0,0.0,5,20,2,0.30174516794895845
11,0.0,1.0,0.0,5,20,2,0.30174516794895845
12,0.0,1.0,0.0,5,20,2,0.30174516794895845
13,0.0,1.0,0.0,5,20,2,0.30174516794895845
14,0.0,1.0,0.0,5,20,2,0.30174516794895845
15,0.0,1.0,0.0,5,20,2,0.30174516794895845
16,0.0,1.0,0.0,5,7,1,0.0
17,0.0,1.0,0.0,5,7,1,0.0
18,0.0,1.0,0.0,5,7,1,0.0
19,0.0,1.0,0.0,5,7,1,0.0
20,0.0,1.0,0.0,5,7,1,0.0
21,0.0,1.0,0.0,5,7,1,0.0
22,0.0,1.0,0.0,5,7,1,0.0
23,0.0,1.0,0.0,5,7,1,0.0
24,0.0,1.0,0.0,5,218,18,0.5892013888888892
25,0.0,1.0,0.0,5,218,18,0.5892013888888892
26,0.0,1.0,0.0,5,218,18,0.5892013888888892
27,0.0,1.0,0.0,5,218,18,0.5892013888888892
28,0.0,1.0,0.0,5,218,18,0.5892013888888892
29,0.0,1.0,0.0,5,218,18,0.5892013888888892
30,0.0,1.0,0.0,5,218,18,0.5892013888888892
31,0.0,1.0,0.0,5,218,18,0.5892013888888892
32,0.0,1.0,0.0,5,1593,34,0.7345747450445271
33,0.0,1.0,0.0,5,1593,34,0.7345747450445271
34,1.4961151429884701e-10,0.9994760503297521,3.057894642344294e-05,5,1593,34,0.7346053239909506
35,0.0,1.0,0.0,5,1593,34,0.7346053239909506
36,0.0,1.0,0.0,5,1593,34,0.7346053239909506
37,0.0,1.0,0.0,5,1593,34,0.7346053239909506
38,0.0,1.0,0.0,5,1593,34,0.7346053239909506
39,0.0,1.0,0.0,5,1593,34,0.7346053239909506
40,0.0,1.0,0.0,5,1593,34,0.7346053239909506
41,0.0,1.0,0.0,5,1593,34,0.7346053239909506
42,0.0,1.0,0.0,5,1593,34,0.7346053239909506
43,0.0,1.0,0.0,5,45,1,0.0
44,0.0,1.0,0.0,5,45,1,0.0
45,0.0,1.0,0.0,5,45,1,0.0
46,0.0,1.0,0.0,5,45,1,0.0
47,0.0,1.0,0.0,5,45,1,0.0
48,0.0,1.0,0.0,5,45,1,0.0
49,0.0,1.0,0.0,5,45,1,0.0
50,0.0,1.0,0.0,5,45,1,0.0
51,0.0,1.0,0.0,5,42,5,0.657826550830666
52,0.0,1.0,0.0,5,42,5,0.657826550830666
53,0.0,1.0,0.0,5,42,5,0.657826550830666
54,0.0,1.0,0.0,5,42,5,0.657826550830666
55,0.0,1.0,0.0,5,42,5,0.657826550830666
56,0.0,1.0,0.0,5,42,5,0.657826550830666
57,0.0,1.0,0.0,5,42,5,0.657826550830666
